# Gene Family	sample01.1.prinseq_CPM	sample02.1.prinseq_CPM	sample03.1.prinseq_CPM	sample04.1.prinseq_CPM	sample05.1.prinseq_CPM	sample06.1.prinseq_CPM	sample07.1.prinseq_CPM	sample08.1.prinseq_CPM	sample09.1.prinseq_CPM	sample10.1.prinseq_CPM	sample11.1.prinseq_CPM	sample12.1.prinseq_CPM	sample13.1.prinseq_CPM	sample14.1.prinseq_CPM	sample15.1.prinseq_CPM	sample16.1.prinseq_CPM	sample17.1.prinseq_CPM	sample18.1.prinseq_CPM	sample19.1.prinseq_CPM	sample20.1.prinseq_CPM	sample21.1.prinseq_CPM	sample22.1.prinseq_CPM	sample23.1.prinseq_CPM	sample24.1.prinseq_CPM	sample25.1.prinseq_CPM	sample26.1.prinseq_CPM	sample27.1.prinseq_CPM	sample28.1.prinseq_CPM	sample29.1.prinseq_CPM	sample30.1.prinseq_CPM	sample31.1.prinseq_CPM	sample32.1.prinseq_CPM	sample33.1.prinseq_CPM	sample34.1.prinseq_CPM	sample35.1.prinseq_CPM	sample36.1.prinseq_CPM	sample37.1.prinseq_CPM	sample38.1.prinseq_CPM	sample39.1.prinseq_CPM	sample40.1.prinseq_CPM	sample41.1.prinseq_CPM	sample42.1.prinseq_CPM	sample43.1.prinseq_CPM	sample44.1.prinseq_CPM	sample45.1.prinseq_CPM
K11899	0	0	0	0	0	0	0	0	0.0927619	0	0	0	0	0	0.127181	0	0	0	0	0	0.114442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11900	0.973538	0.231057	0.979667	0.501171	0.243507	0	0.295917	0.479521	0.911474	1.15778	0.366098	0.276902	0.128042	0.550022	0.502987	0.372457	0.538977	0.452508	3.36735	2.03633	4.57649	1.09413	2.22244	2.74219	0.864485	3.83263	2.62228	0.137261	0.536271	1.24274	0.247193	0.858692	5.04973	0.0464833	0.846886	1.34207	0	0.34347	2.19033	0.890996	2.81934	0.694291	0.241096	0.721745	1.85562
K11901	0	0.315266	0.278544	0.188552	0	0	0.250066	0	0	0.161883	0.245159	0.951728	0.216858	0	0.862729	0.794553	0.260629	1.27668	3.25258	1.77956	12.9082	2.24332	1.7731	1.84854	1.23043	2.73897	3.32507	1.26648	0.894624	1.17298	1.22554	1.15986	6.44127	0.444706	0	1.52411	0.580252	0.993013	1.73386	2.42645	1.86551	0.693038	2.69947	0.763539	1.73294
K11902	0.571094	0.654175	1.19784	0.391279	0.119771	0	0.320851	0.342005	0.0460433	0.811091	0.108333	0.308739	0.449084	0.527133	0.245889	0.514107	0.751603	0.836773	2.52845	2.37985	2.77067	0.909075	1.95352	1.86223	0.867767	3.87669	2.47739	0.284483	0.371781	0.778071	0.572966	0.636544	5.28077	0.0651684	0.418677	1.01364	0.0668332	0.475248	1.39361	0	0.953467	0.511238	0	0.326795	1.28066
K11903	1.63119	0.165244	0.889918	0.199222	0	0.262155	0.523006	0.565663	0.921664	0.654973	0.262172	0	0.4372	0.215141	0.43238	0.438439	0	0	0.401869	0.669657	2.41806	2.11066	0.809295	0.561092	0.832977	0.203632	0.896764	2.66456	0.21988	1.01447	1.70252	0.390474	0.188136	0.498794	0.214062	0.149507	0	0.174567	1.50631	2.62985	0.759618	0.15884	1.07633	0.574664	1.33681
K11904	7.66047	9.03278	1.32535	0.617916	0.227983	6.57393	1.22983	12.4778	0.821106	9.50217	7.91138	1.40242	2.08959	1.03471	4.06511	0.302757	6.41521	0.165885	1.20886	11.443	25.1517	8.0054	10.3895	8.4584	0.76318	2.37236	9.40377	6.68985	11.9082	11.4303	0.159335	14.8113	4.08218	6.7648	8.74466	0.132923	6.6538	17.3709	2.03345	6.43757	7.26458	0.875186	13.3554	10.6658	1.66042
K11905	0	0.19109	0.366686	0	0	0.344656	0.595542	0	0.521395	0.380408	0	0	0	0.501767	0	0	0	0.300797	0.226771	0.264459	8.16303	1.09123	0.235511	0	0.632336	0.924711	0.515845	0.551341	0	0	0.362542	0	0.22638	0.187835	0	0	0.577966	0	0.617434	0.995361	0	0	1.42843	0	0.256185
K11906	0	0.313387	0.22598	0.128272	0	0	0.435426	0	0.685616	0.869878	0.589016	0.795265	0.777989	0.669848	0.885853	0.386986	0	0	0.53871	0	6.47634	1.15614	0.799598	0.499172	1.48293	1.20126	2.29557	0.216667	0	0.164026	0	0.220235	0.530353	0.292078	0	0	0.152089	0.154367	0.162475	0.392584	0	0.192723	1.74056	0.157932	0
K11907	0.583576	0.100597	0.60598	0.0887077	0.0444182	0.130401	0.354234	0	0.189023	0.590421	0.193401	0.335125	0.412271	0.161419	0.450649	0.677981	0.122851	0	0.809453	0.645773	3.46487	1.16179	0.572072	0.965813	0.738893	0.61995	0.592906	1.65766	0.0716147	0.242848	0.678579	0.122875	1.2106	0.319024	0.0331467	0.0951177	0.224369	0.0520699	0.930389	2.02994	1.40372	0.0973357	1.20231	0.298343	1.21753
K11908	0	0	0	0.210905	0	0.152266	0.279431	0	0.12444	0.6356	0.0681565	0.0658177	0.543529	0.0567103	1.19176	0.292034	0.145295	0.141842	0.430285	0.496066	7.41372	0.567379	0.276013	0.151434	0.221208	0.931259	0.862393	0.388219	0	0	0.0767467	0.216407	0.213579	0.13191	0.0571844	0.0429523	0.226117	0.0462692	0.0968961	0.592944	0.0623712	0	1.2677	0.162594	0.0604471
K11909	0	0	0	0	0	0	0.189069	0	0	0.612608	0.188378	0.357616	0.820342	0	1.04375	0.317977	0.197378	0	0.722222	0.49753	5.55135	0.698665	0.448042	0	0	0.296919	0	0	0.16132	0.133788	0.404123	0.293115	1.20444	0	0	0	0.124253	0	0.261239	0.105302	0	0	1.91259	0	0
K11910	0	0	0	0.114642	0	0	0.29705	0	0.251335	0.394619	0.0739985	0.216828	0.525659	0.373998	0.649231	0.382835	0.156571	0	0.524899	0.202325	7.20985	0.280978	0.180097	0	0.399422	1.01072	0.540161	0.140517	0.0677915	0	0.164146	0.117533	0.293227	0.194325	0	0	0.0499568	0.0502955	0.213545	0.649136	0	0	0.697012	0.0587523	0.064918
K11912	0	0	0.0793053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271814	0	0	0	0	0	0	0	0	0	0	0	0
K11913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11915	0	0	0.179039	0	0	0	0	0	0	0	0	0	0.170841	0	0.168751	0	0	0	0	0	0	0	0.127942	1.83807	0	0	0	0	0	1.25884	0	0	1.02831	0	0	1.01097	0	0	0	0	1.44745	0	0	0	2.37496
K11916	0	0	0.126131	0	0	0	0.113235	0.141639	0	0	0	0	0	0	0	0	0	0	0	0	0.087281	0	0	0	0	0	0.100098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10103	0	0	0	0
K11918	0	0	0	0	0	0	0	0	0.162871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205204	0	0	0	0	0	0	0	0	0	0	0	0
K11921	1.25918	0.326666	2.1588	0	0.287812	0.139981	0.516618	0.422687	0	0.674546	0.387109	0.738696	0.113567	0.860818	0.110323	0	0.13359	0	0.0982647	0.116307	0.397331	0.192614	0.103413	0.0946744	0.13697	0.408396	0.111981	0	0.116747	0	0	0	0.100429	0	0.105597	0	0	0	0	0	0	0.17526	0	0.101993	0
K11922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11923	0	0	0	0	0	0	0	0	0.208116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11924	19.3299	17.7991	7.02317	14.3671	18.8329	15.2502	6.32357	6.24781	7.30216	16.6552	13.5701	4.40141	5.89599	4.55673	7.01781	15.6868	12.1789	6.71382	7.80704	5.83246	4.95413	8.9535	11.1553	7.84347	6.76469	5.69159	5.40691	16.1287	18.298	12.5082	4.17995	5.20558	5.2479	21.2509	20.9523	14.5984	10.9479	4.52346	4.99722	20.6188	13.2733	20.6058	6.2916	6.84951	8.99794
K11925	0	0	0	0	0	0	0	0	0.151083	0	0	0	0	0	0	0	0	0	0	0	0.14756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11927	4.41805	2.96124	12.8613	5.04201	4.51174	7.26685	10.257	8.14695	16.6766	6.00449	3.64673	13.8828	13.2434	16.3946	17.9422	1.66235	1.78209	1.41579	7.28691	12.3918	41.7452	17.2933	9.85692	9.38151	6.40596	12.3331	25.9116	20.5506	14.5527	14.447	6.78831	16.0906	25.0852	16.6258	14.1647	10.4079	10.6279	16.0079	23.7836	38.024	22.1466	19.9819	16.315	23.6033	27.8408
K11928	1.29562	2.3324	5.48377	2.25352	0.560894	5.54706	5.95645	7.92251	14.5442	4.03783	4.46082	8.10502	6.93489	10.4138	10.7188	1.16355	3.71377	0.373031	5.16025	8.75971	16.4681	3.18905	3.29765	2.7463	2.59838	8.95649	14.4336	1.93266	2.18705	3.52097	2.91409	9.20042	15.6084	3.63422	3.32547	3.6498	3.59978	7.83041	10.4001	5.32965	5.0541	5.01039	6.25206	7.25868	10.6454
K11930	0	0	0	0	0	0	0	0	0.134876	0	0	0	0	0	0	0	0	0	0	0	0.0868839	0	0	0	0	0	0	0	0	0.681773	0	0	1.19669	0	0	0	0	0	1.14753	0.0619284	1.49792	0	0	0	1.52513
K11931	0	0	0.0623195	0	0	0	0.0540934	0	0.0341948	0.035192	0	0	0	0	0.0977024	0	0	0	0	0	1.46519	0	0	0	0	0.0449462	0.101194	0	0	0	0	0.0877112	0.0830454	0	0	0	0	0	0.0395773	0	0	0	0	0	0.099076
K11935	0	0	0.295071	0	0	0	0	0	0	0	0	0	0	0	0.045365	0	0	0	0	0	0.937615	0	0	0	0	0.0833444	0.0939728	0	0.0874669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461401
K11936	0.304589	0.379718	0.487653	0	0.189911	0.0879108	0.35238	0	0.101971	0.171268	0.253563	0	0.303797	0.359649	0.149157	0.220949	0.767926	0.915831	4.0148	2.16325	6.1948	2.00962	2.14356	1.07043	1.65403	4.19535	3.16628	0.407376	0.656934	0.308618	1.10882	0.970405	7.2692	0.111717	0.504538	1.20552	0.172126	0.233939	0.904172	0.448132	0.470736	0.178252	0	0.137919	0.714903
K11937	0	0	0	0	0	0	0	0	0.154644	0	0	0	0	0	0.248625	0	0	0	0	0	0	0	0	0	0	0	0.25678	0	0	0	0	0	0.202122	0	0	0	0	0	0	0	0	0	0	0	0
K11939	2.71306	0.702822	0.843207	1.55608	0.438517	2.55899	2.85603	1.53451	10.7194	2.94225	2.30287	3.67654	3.83955	3.32832	6.34563	1.86454	1.92578	1.49758	6.05185	3.75239	11.2955	3.26268	5.06488	2.7733	2.10214	7.70293	6.51575	0.499905	1.82543	1.22055	1.61042	2.94741	11.1426	0.508628	3.26449	1.46559	0.348622	2.97119	5.98939	2.4426	3.92228	1.26815	0.107924	2.06477	2.94277
