# Gene Family	sample01.1.prinseq_CPM	sample02.1.prinseq_CPM	sample03.1.prinseq_CPM	sample04.1.prinseq_CPM	sample05.1.prinseq_CPM	sample06.1.prinseq_CPM	sample07.1.prinseq_CPM	sample08.1.prinseq_CPM	sample09.1.prinseq_CPM	sample10.1.prinseq_CPM	sample11.1.prinseq_CPM	sample12.1.prinseq_CPM	sample13.1.prinseq_CPM	sample14.1.prinseq_CPM	sample15.1.prinseq_CPM	sample16.1.prinseq_CPM	sample17.1.prinseq_CPM	sample18.1.prinseq_CPM	sample19.1.prinseq_CPM	sample20.1.prinseq_CPM	sample21.1.prinseq_CPM	sample22.1.prinseq_CPM	sample23.1.prinseq_CPM	sample24.1.prinseq_CPM	sample25.1.prinseq_CPM	sample26.1.prinseq_CPM	sample27.1.prinseq_CPM	sample28.1.prinseq_CPM	sample29.1.prinseq_CPM	sample30.1.prinseq_CPM	sample31.1.prinseq_CPM	sample32.1.prinseq_CPM	sample33.1.prinseq_CPM	sample34.1.prinseq_CPM	sample35.1.prinseq_CPM	sample36.1.prinseq_CPM	sample37.1.prinseq_CPM	sample38.1.prinseq_CPM	sample39.1.prinseq_CPM	sample40.1.prinseq_CPM	sample41.1.prinseq_CPM	sample42.1.prinseq_CPM	sample43.1.prinseq_CPM	sample44.1.prinseq_CPM	sample45.1.prinseq_CPM
K00836	0.211199	0.0494242	0.347635	0.386295	0	0.0871219	0.414716	0.0871451	0.468967	1.77173	0.0844526	0.740157	0.812836	0.280648	1.94611	2.31889	1.64324	2.15839	6.25052	5.42177	28.4553	9.86403	8.92498	5.90773	2.68787	10.3867	8.65053	5.68113	10.9581	6.90352	2.46815	12.6438	17.9007	3.28288	9.76419	4.21377	1.30022	6.83944	10.6092	10.8653	7.19068	11.7341	3.4991	10.936	9.80825
K00837	9.76107	8.38612	11.0182	7.95986	9.63456	10.1871	5.69413	6.19622	5.26901	10.1654	10.9127	6.92098	5.55502	5.98644	6.14466	9.70145	7.45246	5.67336	6.70938	6.23619	5.04228	9.76688	7.93486	8.03394	7.91875	6.57443	6.17231	9.5047	9.16985	10.5898	7.34558	6.68184	9.27217	10.9891	11.195	11.5098	7.31574	9.2627	10.0439	12.6054	11.2076	12.4583	6.81778	7.5088	10.4471
K00839	0.154709	0.109601	0.374376	0.26402	0.465598	2.58278	1.61569	2.20593	11.3058	1.06213	1.21493	3.82843	2.39616	5.31625	4.73552	0.461615	0.273623	0	1.71892	2.01538	3.17063	1.62401	0.209515	0.743186	0.93111	2.07326	3.63742	0.856322	0.547088	0.970015	1.07629	1.88356	2.5417	0.687415	0.974159	0.756303	0.705379	2.09863	3.42735	0.937413	1.57783	1.24533	1.32034	2.76682	2.94903
K00840	2.9494	2.15517	5.1413	3.42206	3.32887	6.73949	6.72808	6.06327	15.889	4.99511	4.9248	8.30023	6.91228	9.14693	9.8976	2.4633	2.23838	1.45223	6.89909	4.8277	9.84194	4.61648	3.72369	3.26185	4.78398	8.65545	8.41304	4.38975	2.3037	2.31435	2.64696	4.14706	9.356	3.24164	2.56495	3.88667	2.36505	4.1024	4.14599	1.72012	2.24813	2.57185	2.44648	4.25187	3.63335
K00841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122794	0	0	0	0	0	0	0	0	0	0	0	0	0.14617	0	0	0	0	0.299468	0
K00842	0	0	0.474914	0	0	0	0	0	0	0	0	0.713966	0	0	0	0	0	0	0	0	0	0	0	0	0.985482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00845	85.2386	62.2122	3.80792	92.9614	51.4464	51.5809	2.67335	4.12412	11.2768	45.9529	38.3973	9.26257	1.62639	6.03931	6.79036	49.4455	89.2704	89.3883	12.9983	8.98208	20.734	73.3168	76.3279	73.1114	16.6764	8.02087	13.207	71.3577	58.4864	52.1011	18.4427	14.5494	19.7967	39.5477	42.1454	49.0299	22.6184	14.9644	33.2358	55.9134	29.6597	39.8031	17.5084	25.8521	23.5283
K00847	161.37	178.444	164.002	178.607	187.689	169.949	92.5841	69.8937	85.7037	188.588	173.61	133.181	104.009	86.1971	86.7177	196.154	132.324	184.104	126.02	62.4217	59.8293	137.461	168.768	155.766	142.294	76.8728	68.2142	148.213	132.681	96.3066	104.001	59.3657	56.6538	167.101	152.535	149.891	160.87	60.2195	48.1722	127.825	130.15	165.15	108.664	92.9913	67.1024
K00848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622636	0	0	0	0	0	0	0.0594075	0	0	0	0	0	0.0670455	0	0.0833905	0.0578096	0	0	1.28985	0	0	2.44906	0.794203	0	0	0.0507203	0	0.677621	0
K00849	6.85786	7.23751	7.35818	7.10175	6.94953	11.24	7.41388	6.46891	13.3731	11.7343	5.37073	9.80051	6.58561	7.91109	6.63009	3.77776	4.92059	2.27525	5.57061	3.86604	5.48012	8.93196	3.06287	5.8307	2.20574	1.39778	4.68941	6.091	4.17435	6.34103	0.108935	3.81121	5.04301	7.53279	5.66362	7.36924	6.44691	5.86294	7.09145	10.7826	6.81036	9.52742	7.01343	2.45192	5.20972
K00850	19.8944	23.7556	43.2641	18.0492	26.0179	24.055	18.7741	15.6204	31.3699	27.8674	23.3643	30.4429	23.6799	37.9676	36.5641	15.871	20.7091	12.2356	16.0368	17.2565	47.8729	21.6156	20.8282	16.3772	15.5252	19.2766	34.8241	18.102	27.2886	20.2252	17.661	16.1194	26.0695	31.8196	31.6348	27.7949	20.5642	22.4483	22.477	28.1964	22.2667	30.5344	17.4135	17.4748	27.0179
K00851	2.73411	1.50656	2.1821	1.67509	0.61245	3.16502	2.6649	0.602326	10.853	3.47831	2.55746	6.11189	5.19073	4.92329	7.05893	0.960935	1.94854	0	3.34957	4.09737	22	4.35978	3.02432	1.57334	2.19677	4.13286	7.14998	2.55508	0.804826	2.67097	0.221535	2.74927	9.21338	2.78198	4.84693	1.98152	1.76046	5.94989	8.6318	5.68237	6.16663	3.11071	4.39373	6.19495	6.93174
K00852	115.063	108.703	38.3249	149.175	122.022	105.426	23.8	16.2264	26.2682	107.517	81.5942	28.2503	18.6001	16.8562	17.8793	149.486	147.859	161.755	26.1465	17.0651	17.3247	111.582	122.508	117.509	35.3158	15.9339	17.4376	124.453	97.3328	85.7819	33.8588	21.9157	18.5351	107.746	107.941	117.174	64.3879	22.7618	19.0944	74.1359	59.6159	91.817	35.9573	26.8312	21.3938
K00853	0	0	0	0	0	0	0	0.0733267	0	0	0	0	0	0	0	0	0	0	0	0	0.0501925	0	0.102517	0.046365	0	0	0.11381	0	1.53841	0.219499	0	1.58845	1.42592	0	2.84016	0.196907	0.0414177	2.54405	2.35323	0.0365834	2.23042	2.60782	0	5.00801	2.06146
K00854	32.7034	35.3524	28.3816	22.4036	32.3391	28.0471	3.86422	5.73018	5.11013	32.3858	25.9278	9.90342	6.65271	5.85782	5.26896	16.7229	24.1923	9.02707	5.62125	4.48564	5.67771	16.5475	17.2176	15.3843	6.60956	6.61485	6.81266	24.8198	28.9013	19.9764	9.37387	9.93441	9.48053	39.813	39.6376	28.0853	17.0245	9.52114	8.48283	32.0012	26.7667	42.7322	10.6123	13.0254	11.7908
K00855	79.8327	68.6477	11.9462	101.623	59.3442	66.3955	6.7387	7.13163	20.2864	54.4598	42.5515	14.1627	6.82356	10.668	14.3165	71.0843	126.909	97.3255	11.1419	6.96634	23.7805	67.648	74.1766	69.4372	16.0915	5.5941	12.3049	67.2158	55.6395	52.8094	16.9078	2.32267	5.66716	37.2902	29.3886	56.3833	19.2281	3.22867	6.61099	22.9914	13.4119	20.6497	13.1227	5.96742	3.2341
K00856	0	0.306197	0.600126	0	0.412342	0	0.998718	2.43772	0.928479	0.197611	0.62663	1.49901	3.04521	1.57149	1.59183	0.527598	0.127039	0	0.880255	2.08254	2.02597	4.95145	0.963641	0.907857	1.36477	3.2632	0.602139	3.32845	1.33009	2.55299	2.73104	3.96423	5.78252	2.85561	2.91126	1.58129	1.40229	5.00772	6.86303	4.05321	3.71072	2.52843	2.27821	5.11065	6.44101
K00857	33.364	43.6173	56.7924	28.7221	39.4945	42.8633	27.3075	29.5181	29.4071	37.2257	41.5139	46.7667	29.6522	30.9705	35.0264	17.1892	28.5463	18.3218	31.0137	27.8792	29.0048	42.2513	30.0774	29.1747	33.441	24.6585	30.8932	42.8096	44.7394	41.7805	25.5693	36.4865	36.4604	41.4941	44.9283	32.1661	23.9335	28.6227	41.8894	55.7371	42.6518	44.6911	31.9276	32.2257	45.013
K00858	225.953	217.203	128.361	267.032	214.51	191.839	116.765	178.368	272.864	188.888	160.117	128.002	129.41	189.938	204.357	269.103	300.921	272.662	119.242	147.993	178.889	222.93	250.6	219.412	143.313	178.464	231.88	227.372	192.636	168.729	107.052	71.7796	183.749	195.321	188.631	199.509	148.271	101.69	139.559	156.449	135.303	165.219	108.244	125.993	200.07
K00859	122.596	113.371	44.6482	168.575	108.409	103.664	33.6255	27.3188	42.7666	95.4917	87.5292	43.8217	40.5448	37.7536	35.3525	132.83	141.114	167.58	57.8092	41.7889	65.5821	121.301	147.464	141.224	64.5648	39.8921	51.7404	133.574	99.4664	89.2519	36.2097	40.7506	54.3353	99.6313	105.011	109.044	61.9672	42.7483	53.2956	97.8625	73.3736	93.405	38.5122	52.9091	52.3325
K00860	170.303	167.964	117.482	192.479	177.912	165.578	105.507	85.9974	109.125	158.129	147.076	119.95	112.865	98.3258	104.062	198.807	225.119	210.837	112.672	73.568	78.547	166.308	179.347	174.785	121.149	86.0044	90.4162	164.928	139.452	125.703	95.1476	62.3321	74.2939	149.832	128.091	148.651	124.878	71.0916	57.292	107.041	109.385	119.919	105.904	89.1127	77.6065
K00862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777148	0.0683566	0	0	0.124112	0.512483	0.820068	0	0	1.25019	0.203654	0	1.47239	0.12136	0	0	0.320756	0	0	0.260008	0.703556	0.897903	1.23644	0	0.712161	0.935215	0
K00863	1.07923	1.02444	1.56717	0.826562	0.64735	0.776997	1.27032	0.475509	0.798146	1.09424	1.65994	0.6204	0.738764	0.959634	0.699451	1.05139	0.0624994	0.869845	1.45071	0.858621	0.340785	0.726924	0.894454	1.07754	1.3162	1.7293	1.33308	2.06466	0.116281	1.42163	1.3307	1.03563	1.7577	0.951498	1.80409	2.28308	2.45259	1.49911	2.64428	3.43457	3.06994	3.06082	1.22705	1.41255	2.83484
K00864	91.8938	89.3012	82.6327	82.3275	88.0376	87.029	59.4862	50.2998	60.4074	86.2282	80.9151	69.5421	59.5434	55.539	57.3382	69.3052	90.3157	72.6777	75.7952	49.2472	72.2018	79.5739	78.3608	68.4333	74.0667	56.2831	60.0695	96.6181	99.4076	82.5144	62.8988	51.9076	61.1436	101.725	99.9655	94.8912	73.838	54.6106	52.3582	105.254	80.5925	102.168	69.902	64.5444	65.8428
K00865	0.173387	0.0579747	4.68865	0.148911	0	0.217185	1.86205	1.4243	2.42624	1.46318	0.0980839	5.144	4.67794	4.12124	1.56147	0.245076	0.205539	0.200952	1.84028	2.402	2.70499	0.217894	0.701563	0.290305	0.418677	3.52795	2.21961	0	0	0	0	6.7465	4.84366	0.0639228	0.409568	0.25873	0	7.34199	4.096	0	0.747809	0.487374	1.63581	3.0552	2.2749
K00867	0.587949	0	4.35238	0.421498	0	1.39846	0.11509	0	0.379827	0.459976	0.114892	2.42649	0.863589	0.0957414	0.106087	2.51597	0.12618	1.11395	4.59177	0.878845	0.461978	14.2187	2.30002	2.63092	6.75757	2.22249	3.93955	10.1222	6.28587	7.5433	9.23435	7.57625	10.3194	6.98161	9.48105	4.94059	5.32084	7.8042	17.1692	13.124	10.1834	7.84704	7.69949	11.967	12.8909
K00868	9.59871	7.73765	2.66057	7.06437	7.39382	4.52425	0	0.278374	0.397078	5.87156	2.85519	0.383515	0.364557	0.103684	0.283575	4.66553	4.69905	2.23105	1.32173	0.564606	2.28177	13.1257	5.52873	3.64908	3.37107	2.21489	0.955908	10.4504	7.80628	6.20659	2.45933	2.64186	6.88171	14.1739	9.45803	6.99868	4.74495	3.96932	9.71913	13.9331	7.21661	8.32293	4.45261	2.33169	5.91684
K00869	0	1.47709	5.66465	1.21013	0	1.80116	2.37022	1.65955	4.40635	0	2.94744	4.59293	3.74234	2.61816	3.55356	1.61375	0	1.85004	2.09983	0.747988	1.26228	0	0.962418	0	1.35974	3.61534	3.06353	1.19186	1.73936	1.81487	0.13528	0.79873	2.31326	1.83521	1.48612	2.04951	2.48029	0	1.33521	1.25648	2.28439	2.04565	0	0.986814	2.42495
K00870	15.0207	8.84772	0.170547	3.85469	3.21443	3.61528	1.62538	0	0.0861931	1.14371	1.83018	0.559645	0	0.126915	0	1.4069	4.36637	1.3801	3.87272	0	0.346185	0.640163	0.707675	0.773398	4.22976	0	0	0.932089	0.513892	0.7867	3.14352	0.110436	0	0.646243	0	0.504562	1.2149	0	0	2.76723	0.264616	1.96028	1.77531	1.44333	0.398361
K00872	3.0899	0.226328	12.8252	1.09533	0.663781	2.50873	41.4003	98.9239	134.083	3.56096	3.99961	26.7522	46.4671	93.6943	106.398	1.99892	0.628001	0.122629	19.9569	74.7711	76.205	1.775	0.279109	0.435756	11.1792	94.0394	120.501	2.31265	1.84389	2.13197	9.98429	20.2434	90.3974	2.5815	4.34854	2.18847	4.55454	34.8167	64.7295	4.24256	6.7181	3.62584	16.9892	39.9589	99.3556
K00873	55.7448	54.1141	51.9273	41.9977	46.2268	48.0427	33.8146	26.4007	27.9442	43.2419	40.6817	42.2202	29.6886	35.5645	31.1335	31.293	35.3768	28.1037	40.6106	27.8958	48.8158	47.2878	41.5407	37.2111	37.4923	27.1087	35.2489	52.4587	51.2053	43.9906	33.365	33.982	44.4691	57.2747	58.9777	47.3198	37.9982	33.5073	43.7491	67.5451	49.2394	62.5429	34.8458	44.6354	43.7489
K00874	1.81369	1.18605	4.2888	2.36302	0.257331	3.23636	2.72425	1.15729	10.7838	3.26253	2.04244	7.153	3.47294	4.9941	5.51829	1.51923	1.50772	0.129033	2.39852	1.17277	5.77381	3.14529	1.44575	2.35542	1.26631	0.738863	1.78914	4.71715	2.15376	3.88514	1.615	4.77603	4.90671	1.21237	1.83058	2.06692	1.28348	3.22997	4.66143	3.24252	5.63961	4.8256	2.58795	5.05013	5.05055
K00876	57.6294	45.0938	5.76174	88.5785	40.2106	52.894	7.80707	11.07	14.1469	38.2355	27.2164	7.55102	7.38683	13.8057	11.0147	102.304	71.4948	118.669	9.08456	10.9537	16.0058	44.6719	67.8507	68.6919	16.125	12.8193	15.9509	53.0208	30.4992	40.1393	12.2242	12.4714	22.0164	24.1027	31.8632	43.3302	14.3917	15.8814	21.325	16.4874	15.6471	18.3029	7.60894	13.721	15.851
K00878	1.47265	0.73074	0	0.962077	0	1.30863	0	0	0	2.07941	0.28964	0	0	0	0.120738	0.754254	0.601691	0	0	0	0.226263	2.18024	1.77864	2.09061	0	0.317776	0.511366	4.78037	3.95867	1.94445	0	1.95149	2.01111	5.26468	4.94788	3.0723	0	2.01489	2.09005	3.90412	4.43122	5.64436	0	4.20019	3.20933
K00880	0	0	0	0	0	0	0	0	0.0438946	0	0	0	0	0	0	0	0	0	0	0	0.113727	0	0	0	0	0	0	0	0	0.0519923	0	0.0563744	0	0	0	0	0	0	0	0	0	0.0500246	0	0	0
K00882	0.515242	0.596589	1.05025	0.17687	0	0	0.356192	0.254749	0.141138	0.305734	0	0.332983	0.203991	0.0977057	0.50837	0	0.362647	0	0.272649	1.14577	0.271055	0.166571	0.83195	0.340334	0.252059	0.920022	0.422695	0.218583	0.521538	0.496211	0.127148	0.549949	0.272051	0.0747404	0.959905	0.0723708	0.0734224	0.855024	0.40705	0.133398	0.416854	0.475755	0.194195	3.15342	0.295887
K00883	1.19567	2.17499	2.04598	0.084502	1.03272	1.08514	0.122406	0	0.200872	1.16757	0	0.213323	0.0969471	0.0926667	0.0983202	1.1236	0.384124	0.131448	0.289635	0.681462	0.941745	1.19364	0.800005	1.61103	0.131062	0.56595	0.88808	3.14703	1.14901	1.77571	0.269988	2.26016	2.22295	1.31032	3.23944	0.999657	0.325291	1.26148	1.39275	4.8118	4.13634	2.64233	1.22277	1.8722	3.8991
K00884	0	0	0.136919	0	0	0	0	0	0.0751427	0	0.125449	0	0	0	0	0	0	0	0	0	0.0972083	0	0	0	0	0	0.11189	0	0	0.21261	0	0	0.137171	0	0.100199	0.0755477	0	0.357051	0	0	0.109703	0	0	0	0
K00885	0	0	0	0	0	0	0	0	0.0794401	0	0	0	0	0	0.114295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00886	0.550047	0.530711	0.156315	0.873369	1.38354	0	0	0	0	1.42511	0.940867	0	1.13343	0.611344	0.0992911	1.32276	1.23205	0	1.10425	0.139733	0.321248	4.01305	3.03361	2.16398	0	0.556815	0.814858	2.7296	1.85145	1.93002	1.13768	0.117932	1.45397	1.75837	2.63327	2.27056	0.991941	1.72711	3.44308	3.26857	2.28771	1.68344	1.48843	1.40025	2.84218
K00887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00889	0.0490186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00891	148.904	159.665	117.592	219.184	171.259	155.67	74.7866	113.791	147.15	149.504	141.63	98.5411	95.4889	116.647	129.405	203.482	204.347	251.027	93.2033	104.81	152.08	155.707	195.7	200.23	91.153	117.821	150.339	175.667	141.57	125.496	60.8323	58.5602	122.848	146.987	159.186	142.331	113.7	77.9333	99.3804	122.433	98.3771	132.433	82.5978	106.11	130.763
K00892	0	0	0	0	0	0.342514	0.082325	0	0.354779	0.0552346	0	0	0	0	0.21641	0	0	0	0	0	0.139777	0	0	0.501939	0.669642	0	0.397099	0	0	0	0	0	2.00739	0	0	0	0	0	0.932113	0	0	0	0	0	0.755231
K00895	0.608632	1.2461	3.16441	0.266357	0.75749	2.28084	5.50506	6.65233	4.4317	1.75879	2.82916	6.58284	4.9695	5.54651	5.24125	0	1.5293	1.56341	4.27817	6.36028	4.73017	1.1191	0.987762	1.16488	4.34474	2.93128	3.83296	0.677204	1.10695	1.92603	3.24879	5.51823	5.16201	0.677384	0.823776	1.8636	2.76813	4.94063	4.77542	1.75425	2.85966	1.55758	3.86806	2.8038	4.80492
K00897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.643	0	0	0.218257	0.58344	0	0
K00899	1.36368	1.60561	2.35494	3.39137	2.25491	1.92739	0.768435	0	0.441954	2.64148	2.96343	0	0	0	0	0.904811	1.2545	0.619128	0.760797	0.0780565	0.203391	1.73345	0.595461	1.55158	0.65181	0	0.390243	2.66303	1.31406	1.11091	0.581099	0	0.33953	3.67546	3.21084	2.16839	2.96742	0	0.42867	3.5154	1.7988	3.50548	0.72808	0.134544	0.393979
K00901	64.5222	58.2144	16.2584	101.699	61.6674	66.2453	4.15468	5.19873	27.0654	52.2092	41.8197	23.1256	5.97641	9.77698	15.562	126.28	122.966	139.461	14.0517	8.76347	24.9867	77.3878	83.1392	83.6792	21.6024	9.56108	13.0795	65.7735	67.0363	52.5147	13.6298	6.92496	13.7742	49.771	47.4117	61.3601	24.2011	2.52194	7.21894	22.8362	26.6057	26.9542	13.869	7.9863	8.6805
K00906	2.68062	1.54517	3.29157	2.35032	0.547749	3.25462	5.17627	4.73759	13.8044	2.70536	2.34725	8.42126	6.19505	7.53906	9.68975	0.363637	1.19608	0.127248	4.60241	3.89614	10.7604	2.27418	0.723892	0.361572	0.464734	2.69063	7.94326	0.468583	0.279745	0.528189	0.0693012	2.27682	3.58399	0.470275	0.586435	0.506468	0	2.30425	3.75453	0.248474	0	0.670635	1.67492	1.7911	3.97949
K00912	50.6251	55.9517	47.8079	54.6385	48.9654	46.2651	19.2773	17.9763	26.0707	57.59	49.1968	35.9528	30.054	26.1691	24.0474	73.4768	34.3983	57.838	31.2091	17.2767	26.9234	39.7488	51.9611	50.5812	30.533	21.4255	25.5733	48.0506	40.6927	32.4301	16.2703	16.6434	24.086	63.9309	62.0635	47.795	40.0119	16.7938	13.5277	46.457	39.3783	62.5156	23.6122	24.7827	24.5008
K00917	0	0	0	0	0	0	0.122406	0	0.0714592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102104	0	0
K00918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139916	0.0752169	0	0	0	0	0	0	0	0.206185	0	0	0	0.150805	0	0	0.0612828	0	0	0	0.0642875	0	0	0
K00919	111.303	119.656	70.9013	174.722	136.906	120.954	21.348	14.9377	24.6573	119.572	101.276	51.3312	27.1411	25.2048	27.7762	207.205	148.033	201.975	36.4475	27.1888	48.7256	130.393	153.23	144.296	46.2328	24.3357	29.253	143.29	97.6218	97.639	32.0626	29.5398	30.2197	99.9739	99.6915	103.766	69.875	30.1536	28.0818	85.8393	65.5935	82.05	39.4859	49.0862	31.7529
K00924	1.1841	1.11836	4.62404	0.323834	0.885532	1.26772	1.24497	1.76931	1.031	1.24419	1.48315	2.64936	2.51705	2.00895	1.42026	0.631803	1.05401	0.800341	1.44762	2.01666	1.14927	0.766332	1.18888	0.60469	1.39738	1.0028	1.42906	1.20795	1.08411	0.921068	0.368041	0.88676	1.53259	1.06715	0.87843	0.888846	0.993622	1.06248	1.81581	0.751043	2.24712	1.14618	1.14377	0.945744	1.09127
K00925	1.48759	0.822658	2.08283	0.561919	0.207927	2.78813	1.57716	0.606784	11.6609	1.88783	2.04777	3.91917	2.27839	4.13789	6.69301	0.6299	0.576777	0.0962762	1.54422	1.05912	19.317	3.01943	0.729515	1.76539	1.50163	1.74449	5.29402	3.05987	0.756337	3.17813	0.915806	2.77064	6.79321	0.976674	1.61348	1.22401	0.427087	3.00818	8.94303	4.30162	3.94212	1.6618	3.96041	2.82759	6.84975
K00926	0	0.407572	7.28851	0.901952	1.45277	2.09408	9.73124	18.3053	13.0777	2.86764	4.02472	10.7573	7.52854	14.0962	18.4948	0.105848	0	0.128298	5.70864	12.8713	20.4142	0.855155	0.899669	1.92071	4.79777	13.9276	17.5487	0.77682	1.8382	1.99086	0.905382	7.84146	13.5666	0	0	1.88552	3.93637	9.74061	11.923	0.901883	1.70146	2.21089	3.56183	8.55365	12.9271
K00927	149.5	141.099	102.814	173.786	142.37	134.206	120.755	169.168	220.289	130.261	114.666	123.886	129.494	175.069	189.265	182.417	181.947	175.967	102.578	136.887	160.639	139.585	156.027	141.311	104.142	177.343	191.281	151.865	135.71	112.485	82.0633	81.8834	159.194	140.172	140.383	138.437	106.969	106.956	125.558	115.817	103.26	128.869	93.3669	120.332	166.25
K00928	174.39	173.316	126.777	194.971	173.639	166.399	137.075	233.552	311.888	171.089	143.418	144.403	149.465	247.261	272.734	221.999	219.794	191.392	113.231	207.143	248.897	180.041	188.415	165.411	126.282	240.921	310.238	185.195	173.148	138.631	110.718	93.0069	239.487	165.436	160.669	166.115	124.949	126.219	189.985	148.453	128.436	152.102	120.632	158.874	252.858
K00930	182.268	190.94	136.176	214.505	202.714	181.457	83.7985	71.4562	91.4519	186.07	162.084	123.985	86.0192	85.3776	87.2203	217.306	237.273	201.3	96.7677	72.129	96.7476	195.135	198.844	168.183	116.206	83.3376	85.8711	197.511	187.784	145.358	98.7908	68.3437	82.749	178.427	172.966	185.746	127.916	77.9202	80.0079	157.645	134.313	166.96	105.866	97.2125	85.5077
K00931	184.407	183.194	114.476	236.486	198.615	185.94	61.8677	50.1408	81.3264	195.587	163.539	96.2613	71.426	61.9667	68.1491	230.876	199.091	250.623	101.545	60.3317	71.5244	185.893	213.817	202.167	123.872	66.5998	73.0847	201.344	157.386	140.812	87.7643	56.6068	67.3628	185.126	177.373	181.434	141.007	60.0223	59.7053	155.48	134.562	165.998	92.5814	91.0532	74.1765
K00932	0	0	0	0	0	0	0.462421	0	0.056664	0.600744	0	0.0892823	0.560506	0	0	0.392952	0.688567	0.0962762	2.97366	1.34169	2.83802	1.11513	1.04195	0.687623	0.896758	2.28498	1.76108	0.26456	0.513146	0.0669301	0.627605	0.435925	5.21124	0.117487	0.382494	0.523688	0.0615215	0.312556	0.785871	0.429226	0.0851607	0.191262	0.234506	0.147484	0.245991
K00936	57.2713	47.9736	4.59684	87.6612	51.3369	51.0034	2.05338	1.42798	3.66327	42.7584	31.9524	4.27231	0.849918	1.50351	1.19564	69.8289	106.802	96.7932	10.2356	8.54604	16.5808	81.2536	81.9923	77.5427	14.638	7.68822	10.8441	75.3556	65.3198	59.1064	17.3338	20.0438	22.1063	36.9166	46.2889	55.7023	19.9	14.3809	27.126	40.5712	23.354	36.6394	13.8345	17.1864	23.3381
K00937	59.7946	58.7996	18.1982	103.543	64.7012	64.1615	9.02772	3.22325	15.642	55.7716	45.5191	15.9097	5.98079	7.30265	9.29656	83.6189	111.057	118.514	18.0784	12.1074	34.216	85.1517	98.5091	92.3936	22.2937	12.1103	16.7007	98.1119	78.463	69.6704	20.7233	17.9604	21.6985	80.8261	83.2928	81.2099	34.7863	15.6543	24.1307	66.7697	42.6125	69.2366	22.4068	21.6397	19.1028
K00939	140.634	145.023	114.869	160.404	143.354	142.285	85.8714	81.8135	75.858	129.187	133.462	105.383	92.4399	89.2034	83.0806	107.921	199.17	136.068	97.9559	81.2609	101.289	153.701	156.051	137.261	105.154	81.6629	85.3345	160.748	144.623	137.489	90.0836	83.8643	92.816	146.769	145.365	141.863	102.401	87.7612	81.5362	135.712	116.5	134.861	93.7911	92.0658	94.8272
K00940	201.22	197.558	173.529	218.526	207.592	189.833	144.353	126.098	139.778	187.073	174.296	165.199	151.759	146.122	147.526	229.586	250.499	235.637	144.025	119.447	153.251	212.814	222.221	200.29	158.278	131.23	143.454	226.415	207.395	177.88	128.879	120.54	144.508	198.964	205.83	200.198	154.781	123.045	127.292	195.175	164.774	188.622	142.783	134.321	147.817
K00941	182.419	178.597	119.694	216.227	192.498	166.284	85.095	68.6962	88.794	195.042	155.822	105.856	96.9808	85.0428	84.3154	294.428	234.039	239.602	99.3839	63.2316	80.9246	207.429	203.029	172.482	128.466	83.5214	79.7793	194.935	167.661	124.446	99.9354	59.2155	61.9528	169.07	156.828	181.765	144.588	68.6945	51.9608	129.227	132.763	160.593	100.814	95.1349	75.5563
K00942	165.399	180.926	148.255	229.559	189.955	177.373	80.0757	66.965	74.7577	181.541	159.485	120.158	93.009	75.8507	72.5495	253.847	207.873	251.217	116.527	65.861	85.7187	185.135	217.791	203.622	135.17	77.1645	78.3221	189.845	161.124	153.116	91.3362	76.3174	80.9433	176.353	177.014	175.059	141.313	77.3906	69.4698	154.398	134.872	169.842	95.1379	89.0856	79.9104
K00943	161.727	160.838	130.832	198.471	165.538	144.007	84.7006	92.0711	101.064	142.028	126.024	117.874	107.918	102.07	111.233	219.648	178.936	208.588	120.064	89.5439	105.761	157.079	178.989	177.3	109.782	99.3568	118.108	166.643	136.821	124.42	83.3336	76.1622	113.033	141.135	145.744	152.79	115.148	94.1704	89.4918	122.48	110.514	134.558	96.1441	98.9096	113.101
K00944	0	1.13553	1.14643	0	0	1.79011	0.294165	0	0	1.66595	0	0.763232	0	0.633123	0	0	0	0	0	0	0	0	0	0.368228	0	0	0	0	2.37923	0.887857	0	0.730076	0	0	0	0.149189	0.411622	0.323406	0.185963	1.92838	0	0.17519	0	0.182848	0
