Sample label [TARA_station#_environmental-feature_size-fraction]	PANGAEA Sample ID	Sample label [TARA_station#_environmental-feature_size-fraction]	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	category_latitude	category_temperature	category_redsea
TARA_150_SRF_0.22-3	TARA_B100001769	TARA_150_SRF_0.22-3	3/5/12 11:02	35.91	-37.26	5.5	17.6	36.3	228.4	-0.3	0.04	0.01	0.17	0.84	15.7	-0.18	0.04		22.03	77	43	101	28.0	482.0	110.0	2918.0	449.0	4161.0	3971.0	6.78	7.13	14688.0	0.743	514205.0	146022.0	660227.0	7940.0	11.0	subtropical	temperate	False
TARA_151_SRF_0.22-3	TARA_B100001564	TARA_151_SRF_0.22-3	3/9/12 10:13	36.16	-29.01	5.4	17.3	36.2	232.1	0.3	0.02	0.01	0.02	0.65	20.7	-0.08	0.02		36.94	36	69	107	36.0	361.0	271.0	2822.0	423.0	4021.0	3877.0	6.78	7.12	14772.0	0.742	377257.0	66886.0	444143.0	3569.0	9.0	subtropical	temperate	False
TARA_152_SRF_0.22-3	TARA_B100001173	TARA_152_SRF_0.22-3	3/19/12 10:42	43.69	-16.85	5.4	14.3	36.0	243.1	3.0	0.31	0.16	2.16	1.24	23.8	0.0	0.11		2.83	168	37	522	29.0	672.0	576.0	3084.0	460.0	4331.0	4177.0	6.82	7.18	14843.0	0.748	555269.0	104028.0	659297.0	7551.0	11.0	temperate	temperate	False
TARA_018_SRF_0.22-1.6	TARA_A100000164	TARA_018_SRF_0.22-1.6	11/2/09 8:18	35.76	14.26	5.4	21.4	37.9	207.8		0.02	0.03	0.12	0.56	22.0	0.14	0.0		7.67	39	84	57	56.0	395.0		2754.0	423.0	4030.0	3931.0	6.61	7.14	14161.0	0.747	633618.0	39180.0	672798.0	947.0	14.0	subtropical	tropical	False
TARA_023_SRF_0.22-1.6	TARA_E500000075	TARA_023_SRF_0.22-1.6	11/18/09 8:23	42.21	17.71	5.5	17.6	38.2	220.0		0.01	0.01	0.04	1.38	7.7	-0.39	0.0		1.89	9	54	55	32.0	157.0		2658.0	408.0	3735.0	3632.0	6.58	7.13	14477.0	0.745	746759.0	57854.0	804613.0	1499.0	18.0	temperate	temperate	False
TARA_025_SRF_0.22-1.6	TARA_E500000178	TARA_025_SRF_0.22-1.6	11/23/09 9:14	39.39	19.39	5.5	18.3	38.2	218.0		0.0	0.01	0.03	1.05	13.6	0.18	0.02		1.25	29	54	38	33.0	374.0		2724.0	419.0	3720.0	3635.0	6.71	7.17	14408.0	0.749	264404.0	34000.0	298404.0	1123.0	21.0	subtropical	temperate	False
TARA_030_SRF_0.22-1.6	TARA_A100001015	TARA_030_SRF_0.22-1.6	12/15/09 10:40	33.92	32.89	5.4	20.5	39.4	207.6	-0.7	0.0	0.0	0.05	0.82	13.2	-0.86	0.03		40.81	41	77	66	65.0	260.0	307.0	2215.0	344.0	3185.0	3027.0	6.38	7.12	12612.0	0.754	232380.0	36418.0	268797.0	1225.0	15.0	subtropical	tropical	False
TARA_031_SRF_0.22-1.6	TARA_A100001388	TARA_031_SRF_0.22-1.6	1/9/10 7:25	27.16	34.83	5.4	25.1	40.0	188.8	-0.1	0.01	0.02	0.03	0.82	28.2		0.0		0.0	45	84	90	33.0	401.0	139.0	2261.0	366.0	3358.0	3229.0	6.35	7.08	14134.0	0.74	473351.0	204723.0	678074.0	1192.0	13.0	subtropical	tropical	True
TARA_032_SRF_0.22-1.6	TARA_A100001035	TARA_032_SRF_0.22-1.6	1/11/10 7:27	23.36	37.22	5.4	25.8	39.7	188.4	-0.5	0.01	0.02	0.0	0.87	24.7		0.0		0.0	35	80	142	28.0	287.0	231.0	2142.0	348.0	2996.0	2934.0	6.32	7.04	13296.0	0.742	444313.0	206786.0	651100.0	1437.0	14.0	tropical	tropical	True
TARA_033_SRF_0.22-1.6	TARA_A100001234	TARA_033_SRF_0.22-1.6	1/13/10 8:00	21.98	38.24	5.4	27.3	38.9	182.8	0.0	0.0	0.05	0.0	1.15	34.1		0.0		0.0	27	53	79	33.0	248.0	172.0	2143.0	354.0	2993.0	2927.0	6.47	7.16	13578.0	0.753	556091.0	215346.0	771437.0	4410.0	11.0	tropical	tropical	True
TARA_034_SRF_0.22-1.6	TARA_B100000003	TARA_034_SRF_0.22-1.6	1/20/10 4:50	18.4	39.88	5.4	27.6	38.6	184.1	-0.9	0.02	0.19	0.03	3.91	35.4		0.0	0.67	0.0	26	43	78	28.0	217.0	149.0	2230.0	371.0	3191.0	3120.0	6.51	7.15	14190.0	0.748	480515.0	104486.0	585001.0	6442.0	11.0	tropical	tropical	True
TARA_036_SRF_0.22-1.6	TARA_Y100000022	TARA_036_SRF_0.22-1.6	3/12/10 6:19	20.82	63.5	5.5	25.6	36.5	210.9		0.05	0.37	0.13	1.2	42.5	-0.03	0.07	0.23	18.83	7	21	23	28.0	378.0	88.0	2162.0	342.0	3048.0	2967.0	6.41	7.12	12504.0	0.754	2216959.0	231702.0	2448661.0	4807.0	12.0	tropical	tropical	False
TARA_038_SRF_0.22-1.6	TARA_Y100000287	TARA_038_SRF_0.22-1.6	3/15/10 3:44	19.04	64.49	5.5	26.2	36.6	199.9	0.9	0.01	0.32	0.06	1.18	47.7	0.01	0.07	0.16	1.08	11	32	108	32.0	487.0	123.0	2197.0	354.0	2935.0	2883.0	6.55	7.14	13741.0	0.749	1626279.0	285872.0	1912151.0	8040.0	11.0	tropical	tropical	False
TARA_004_SRF_0.22-1.6	TARA_Y200000002	TARA_004_SRF_0.22-1.6	9/15/09 10:15	36.55	-6.57	10.0	20.5	36.6							39.9	0.01	0.02		0.0	4	38	18				2718.0	406.0	3763.0	3680.0	6.64	7.15	14591.0	0.745	839531.0	54593.0	894124.0	1222.0	15.0	subtropical	tropical	False
TARA_041_SRF_0.22-1.6	TARA_B100000282	TARA_041_SRF_0.22-1.6	3/30/10 2:56	14.6	69.98	5.5	29.1	36.0	187.4	-1.3	0.0	0.14	0.09	1.47	47.6	-0.16	0.03	0.43	21.64	5	65	57	30.0	422.0	75.0	2520.0	407.0	3964.0	3812.0	6.56	7.1	16594.0	0.731	491899.0	249308.0	741207.0	818.0	14.0	tropical	tropical	False
TARA_042_SRF_0.22-1.6	TARA_B100000123	TARA_042_SRF_0.22-1.6	4/4/10 3:13	6.03	73.89	5.4	30.0	34.6	189.3	-1.5	0.0	0.08	0.03	2.21	51.7	-0.03	0.04		7.06	21	76	103	32.0	168.0	85.0	2331.0	388.0	3665.0	3569.0	6.51	7.09	15541.0	0.735	808564.0	188746.0	997310.0	909.0	14.0	tropical	tropical	False
TARA_045_SRF_0.22-1.6	TARA_B100000161	TARA_045_SRF_0.22-1.6	4/13/10 3:21	0.0	71.64	5.5	30.5	35.1	185.2	2.6	0.02	1.94	28.64	15.14	33.9	0.01	0.0		0.0	14	48	47	28.0	869.0	132.0	2154.0	359.0	3345.0	3226.0	6.3	7.06	14553.0	0.736	393599.0	305984.0	699583.0	818.0	13.0	tropical	tropical	False
TARA_048_SRF_0.22-1.6	TARA_B100000242	TARA_048_SRF_0.22-1.6	4/19/10 7:54	-9.39	66.42	5.4	29.8	34.2	187.3	-2.2	0.01	0.08	0.06	2.12	43.4	-0.07	0.05	1.99	6.19	17	59	30	28.0	111.0	61.0	1998.0	331.0	3066.0	2983.0	6.31	7.06	13177.0	0.744	313030.0	148147.0	461176.0	566.0	13.0	tropical	tropical	False
TARA_052_SRF_0.22-1.6	TARA_B100000212	TARA_052_SRF_0.22-1.6	5/17/10 3:56	-16.96	53.99	5.5	27.9	34.6	191.7		0.0	0.12	0.0	2.67	33.9	0.47	0.05	1.77	0.0	47	71	69	333.0	441.0	148.0	2127.0	349.0	3096.0	3016.0	6.26	7.08	14573.0	0.739	425006.0	206037.0	631044.0	3913.0	15.0	tropical	tropical	False
TARA_056_SRF_0.22-3	TARA_B000000609	TARA_056_SRF_0.22-3	6/26/10 7:12	-15.34	43.29	5.5	27.3	35.0	193.1						37.6					80	86	88	32.0	994.0		2407.0	401.0	3652.0	3472.0	6.52	7.08	13543.0	0.744	409420.0	207207.0	616626.0	634.0	13.0	tropical	tropical	False
TARA_057_SRF_0.22-3	TARA_B000000565	TARA_057_SRF_0.22-3	6/27/10 12:07	-17.02	42.74	5.6	27.0	35.1	190.1		0.02	0.0	0.0	2.81	25.1					14	17	11	17.0	4.0		2548.0	414.0	4102.0	3913.0	6.57	7.15	14117.0	0.749					10.0	tropical	tropical	False
TARA_062_SRF_0.22-3	TARA_B000000532	TARA_062_SRF_0.22-3	7/2/10 10:17	-21.38	39.56	5.4	25.1	35.3	199.9	-0.2					28.9					67	74	76	407.0	934.0	92.0	2348.0	377.0	3427.0	3298.0	6.64	7.11	13750.0	0.746	371432.0	149622.0	521054.0	1949.0	12.0	tropical	tropical	False
TARA_064_SRF_0.22-3	TARA_B100000401	TARA_064_SRF_0.22-3	7/7/10 4:56	-29.5	37.99	5.5	22.2	35.3	210.0		0.0	0.08	0.0	1.77	15.0	0.52	0.08	1.5	1.28	71	52	161	609.0	562.0	424.0	2328.0	363.0	3176.0	3044.0	6.56	7.1	13216.0	0.748	570751.0	403151.0	973902.0	7078.0	11.0	subtropical	tropical	False
TARA_065_SRF_0.22-3	TARA_B000000437	TARA_065_SRF_0.22-3	7/12/10 6:46	-35.19	26.29	5.9	21.8	35.4	207.0						9.2	1.83	0.11	0.73	1.08	47	26	89	416.0	675.0		2521.0	399.0	3386.0	3306.0	6.6	7.13	13735.0	0.748	538371.0	66905.0	605276.0	6590.0	12.0	subtropical	tropical	False
TARA_066_SRF_0.22-3	TARA_B000000475	TARA_066_SRF_0.22-3	7/15/10 12:26	-34.94	17.94	5.4	15.0	35.3	238.9	2.5	0.3	0.34	3.34	2.74	14.3	0.01	0.05		0.0	90	22	104	29.0	433.0	106.0	2866.0	417.0	3801.0	3672.0	6.65	7.13	13082.0	0.752	564191.0	32703.0	596894.0	15397.0	11.0	subtropical	temperate	False
TARA_067_SRF_0.22-3	TARA_B100000497	TARA_067_SRF_0.22-3	9/7/10 6:35	-32.23	17.71	5.5	12.8	34.8	249.4	0.4	0.17	1.02	7.09	13.88	37.7	0.04	0.14		1.11	12	10	25	56.0	101.0	37.0	3445.0	490.0	4879.0	4765.0	6.92	7.23	14423.0	0.755	1840174.0	113647.0	1953821.0	46597.0	13.0	subtropical	temperate	False
TARA_068_SRF_0.22-3	TARA_B100000475	TARA_068_SRF_0.22-3	9/14/10 9:14	-31.03	4.69	5.4	16.8	35.7	231.9		0.25	0.23	1.3	2.6	34.1	-0.25	0.04	0.22	31.83	187	37	200	56.0	772.0	450.0	2911.0	443.0	4047.0	3926.0	6.49	7.18	16906.0	0.738	439221.0	192777.0	631998.0	18473.0	10.0	subtropical	temperate	False
TARA_007_SRF_0.22-1.6	TARA_A200000113	TARA_007_SRF_0.22-1.6	9/23/09 15:06	37.02	1.95	7.5	23.8	37.5			0.0	0.06	0.03	0.52	29.9	-0.79	0.0		4.92	18	44	41				2592.0	401.0	3872.0	3729.0	6.53	7.2	15495.0	0.746	1004684.0	50586.0	1055270.0	813.0	14.0	subtropical	tropical	False
TARA_070_SRF_0.22-3	TARA_B100000459	TARA_070_SRF_0.22-3	9/21/10 7:05	-20.44	-3.19	5.4	19.8	36.4	215.7	0.2	0.05	0.36	0.99	1.36	48.2	0.0	0.04	1.33	10.81	147	54	154	29.0	239.0	158.0	2766.0	441.0	3896.0	3759.0	6.56	7.16	16493.0	0.737	572821.0	117261.0	690082.0	9740.0	9.0	tropical	temperate	False
TARA_072_SRF_0.22-3	TARA_B100000424	TARA_072_SRF_0.22-3	10/5/10 8:10	-8.78	-17.91	5.8	25.0	36.4	199.1	0.3	0.0	0.1	0.02	0.87	37.5	0.04	0.02	1.02	0.0	75	97	98	29.0	270.0	132.0	2743.0	431.0	3901.0	3816.0	6.64	7.12	17255.0	0.73					16.0	tropical	tropical	False
TARA_076_SRF_0.22-3	TARA_B100000513	TARA_076_SRF_0.22-3	10/16/10 10:07	-20.94	-35.2	5.5	23.3	37.1	206.2	0.0	0.0	0.06	0.0	0.81		0.01	0.02	0.7	3.53	34	129	154	53.0	395.0	395.0	2265.0	365.0	2710.0	2679.0	6.41	7.17	17695.0	0.733	418710.0	191229.0	609939.0	2215.0	16.0	tropical	tropical	False
TARA_078_SRF_0.22-3	TARA_B100000524	TARA_078_SRF_0.22-3	11/4/10 10:24	-30.14	-43.29	5.6	19.9	36.3	221.5	-0.4	0.0	0.0	0.02	0.48		-0.04	0.08	1.91	14.53	34	113	41	317.0	409.0	436.0	2585.0	416.0	3392.0	3377.0	6.6	7.12	15863.0	0.736	447396.0	213507.0	660903.0	5498.0	14.0	subtropical	temperate	False
